Category;Column name;Description;;
Identification;Last_updated;The date the entity's data was last updated.;;
;ID_Code;Internal Net Zero Tracker identification code.;;
;ISIN_ID;An ISIN (International Securities Identification Number) is a 12-character alphanumeric code that uniquely identifies publicly listed companies.;;
Entity type and location;Name;The official name of the entity.;;
;Country;The country the entity is located, in ISO-3 (ISO 3166-1). For companies, this refers to the country of their headquarters.;;
;Geographic_region;The geographic region the entity is in or headquartered in. [Africa, East Asia, Europe, Latin America and the Caribbean, North America, Oceania, South Asia, Western and Central Asia];;
;Entity_type;The type of entity making the commitment. [Country, region, city, or company];;
;Private_company;Whether the entity is a private company (as opposed to a publicly listed company). [Yes/No];;
End target information;End_target;How the entity describes its end net zero or mitigation target.;;
;End_target_percentage_reduction;The percentage reduction in emissions aimed for by the end target year.;;
;End_target_baseline_year;The reference year against which end target emission reductions are measured.;;
;End_target_year;The year the end net zero or mitigation targets is to be achieved.;;
;Status_of_end_target;"The current status of the end target. [Achieved (externally validated); Achieved (self-declared); In law; In policy document; In corporate strategy; Declaration / pledge; Proposed / in discussion]";;
;Date_of_last_status_update;Year when the current target status was reached.;;
;End_target_text;A textual description of the end net zero or mitigation target.;;
;End_target_source_url;A website link to the official source of the end net zero or mitigation target.;;
Interim target information;Interim_target;A near-term emissions reduction target set before the end target year.;;
;Interim_target_year;The year the interim target is to be achieved.;;
;Interim_target_percentage_reduction;The percentage reduction in emissions aimed for by the interim target year.;;
;Interim_target_baseline_year;The reference year against which interim target emission reductions are measured.;;
;Interim_target_text;A textual description of the interim target(s).;;
;Targets_notes;Additional details of interim and end targets, including archived links to sources.;;
End target integrity indicators;GHGs_covered;The greenhouse gases covered by the target [CO₂ only, CO₂ and other GHGs, Not specified];;
;Scope_1_coverage;Whether the entity covers emissions from owned or controlled sources. [Yes / No / Not specified];;
;Scope_2_coverage;Whether the entity covers emissions from purchased electricity, steam, heating, and cooling. [Yes / No / Not specified];;
;Scope_3_coverage;Whether the entity covers all other emissions in the value chain, including upstream and downstream activities. [Yes / No / Not specified];;
;Coverage_notes;Additional details about the scope of emissions coverage.;;
;Published_plan;Whether the entity has a published plan to meet its end net zero or mitigation target [Yes / No];;
;Published_plan_measures;Details of the published plan, asking whether the entity has specified: (i) Measures or steps that will be taken for all emission scopes that are covered by the target (ii) Information on the emission reductions expected from these measures within a certain time period (iii) Information on the extent to which measures/steps will be taken (e.g. if switching to electric vehicles) (iv) A schedule for regular reviews of measures.;;
;Reporting_mechanism;Whether there is a reporting on progress toward net-zero goals. [No reporting mechanism, Less frequently than annually, Annual reporting];;
;International_equity_just_transition;Considerations of 'fair share' responsibility for mitigation or just transition principles. May refer to: - Equity between countries, for example a statement about how the entity’s targets contributes to their fair share of the global carbon budget. - Equity across different groups in society (e.g. a reference to the rights of communities, or a just transition for workers in fossil fuel intensive sectors).;;
;Accountability_delivery;Whether any of the leadership of the entity is formally accountable for delivery on the target.;;
;Governance_notes;Additional details about the governance aspects of the end net zero or mitigation target.;;
;Carbon_credits;Does the target allow for traded carbon credits (offsets) from outside the entities’ territory / value chain to meet the target? [Yes, No, Not specified];;
;Carbon_credits_conditions;Whether the entity specifies conditions on the trading of carbon credits (offsets)? Categories: - No conditions specified - Must be high environmental integrity - Avoid social harm - Avoid biodiversity harm - Not include avoided emissions (e.g. via renewable energy projects) - Not include emissions reductions (e.g. via greater efficiency) - Not include biological sequestration (e.g. via afforestation) - Maximum % of emissions that can be offset - Other conditions;;
;Max_emission_offset;If 'Maximum % of emissions that can be offset' specified, the percentage value (0-100).;;
;Carbon_credits_conditions_other;Details of other carbon credit conditions.;;
;Seperate_removal_target;Whether the entity has separate targets for emission reductions and removals. [Yes / No];;
;Planning_removals;Whether the entity uses or plans to use carbon dioxide removal (CDR) within its target boundary (i.e. not external offsets)? - No - Yes (unspecified) - Yes (nature-based removals e.g. Forestation, soil carbon enhancement) - Yes (CCS-based removals e.g. BECCS, DACCS) - Yes (nature-based and CCS-based removals) - Not specified;;
;Removals_and_credits_notes;Additional details about the use of carbon credits or removals in the end net zero or mitigation target.;;
;Territorial_emissions;Whether the end target covers all 'territorial emissions'. Sometimes called production emissions, territorial emissions are those generated within a city or state’s boundaries. [Yes, No, Not specified];;
;Consumption_emissions;Whether the end target covers 'consumption emissions'. This include 'embodied emissions' in goods that are imported from outside the country, city or state’s boundaries. [Yes, No, Not specified];;
