building_id,year,meter,total_meter_reading,site_id,sqm,primaryspaceusage,yearbuilt,region,country,Avg_AirTemp_Annual,Total_HDD_Annual,Total_CDD_Annual,Count_Heating_Days_Annual,Count_Cooling_Days_Annual
Bear_assembly_Angel,2016,electricity,3020395.6793,Bear,22117.0,Entertainment/public assembly,1933.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1
Bear_assembly_Angel,2017,electricity,4115350.2023,Bear,22117.0,Entertainment/public assembly,1933.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4
Bear_assembly_Beatrice,2016,electricity,386820.7295,Bear,2802.0,Entertainment/public assembly,1958.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1
Bear_assembly_Beatrice,2017,electricity,365230.0555,Bear,2802.0,Entertainment/public assembly,1958.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4
Bear_assembly_Danial,2016,electricity,561282.4361,Bear,7680.3,Entertainment/public assembly,2016.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1
Bear_assembly_Danial,2017,electricity,1396628.9285,Bear,7680.3,Entertainment/public assembly,2016.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4
Bear_assembly_Diana,2016,electricity,5683.6763,Bear,121.2,Entertainment/public assembly,1995.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1
Bear_assembly_Diana,2017,electricity,7407.7914,Bear,121.2,Entertainment/public assembly,1995.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4
Bear_assembly_Genia,2016,electricity,2267334.973,Bear,24256.1,Entertainment/public assembly,1923.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1
Bear_assembly_Genia,2017,electricity,2269609.5224,Bear,24256.1,Entertainment/public assembly,1923.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4
Bear_assembly_Harry,2016,electricity,52051.444,Bear,5511.6,Entertainment/public assembly,1932.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1
Bear_assembly_Harry,2017,electricity,150224.8412,Bear,5511.6,Entertainment/public assembly,1932.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4
Bear_assembly_Jose,2016,electricity,2271728.6505,Bear,3361.2,Entertainment/public assembly,1966.0,"Berkeley, California",United States of America,15.237956,388.2165,0.024999619,146,1
Bear_assembly_Jose,2017,electricity,2229522.3279,Bear,3361.2,Entertainment/public assembly,1966.0,"Berkeley, California",United States of America,14.965894,516.45306,8.72917,160,4
