building_id,year,meter,total_meter_reading
Bear_assembly_Angel,2016,electricity,3020395.6793
Bear_assembly_Angel,2017,electricity,4115350.2023
Bear_assembly_Beatrice,2016,electricity,386820.7295
Bear_assembly_Beatrice,2017,electricity,365230.0555
Bear_assembly_Danial,2016,electricity,561282.4361
Bear_assembly_Danial,2017,electricity,1396628.9285
Bear_assembly_Diana,2016,electricity,5683.6763
Bear_assembly_Diana,2017,electricity,7407.7914
Bear_assembly_Genia,2016,electricity,2267334.973
Bear_assembly_Genia,2017,electricity,2269609.5224
Bear_assembly_Harry,2016,electricity,52051.444
Bear_assembly_Harry,2017,electricity,150224.8412
Bear_assembly_Jose,2016,electricity,2271728.6505
Bear_assembly_Jose,2017,electricity,2229522.3279
Bear_assembly_Roxy,2016,electricity,139074.8681
Bear_assembly_Roxy,2017,electricity,132557.8015
Bear_assembly_Ruby,2016,electricity,600731.0859
Bear_assembly_Ruby,2017,electricity,612869.4667
Bear_education_Alfredo,2016,electricity,1619.4236
Bear_education_Alfredo,2017,electricity,1548.5881
Bear_education_Alvaro,2016,electricity,3816747.849
Bear_education_Alvaro,2017,electricity,3517265.454
Bear_education_Arnold,2016,electricity,4607.7108
Bear_education_Arnold,2017,electricity,4620.1103
Bear_education_Augusta,2016,electricity,1002168.5462
Bear_education_Augusta,2017,electricity,1014236.3045
Bear_education_Austin,2016,electricity,192148.2522
Bear_education_Austin,2017,electricity,177498.5034
Bear_education_Babara,2016,electricity,3232210.9942
Bear_education_Babara,2017,electricity,3229729.4778
Bear_education_Benita,2016,electricity,4302835.2201
Bear_education_Benita,2017,electricity,4635811.5483
Bear_education_Benjamin,2016,electricity,1548.015
Bear_education_Benjamin,2017,electricity,9648.2633
Bear_education_Bob,2016,electricity,1103992.6863
Bear_education_Bob,2017,electricity,1151370.886
Bear_education_Bonita,2016,electricity,1735.7063
Bear_education_Bonita,2017,electricity,1516.825
Bear_education_Bulah,2016,electricity,11411291.037
Bear_education_Bulah,2017,electricity,11924904.703399999
Bear_education_Carlo,2016,electricity,18826.8997
Bear_education_Carlo,2017,electricity,34466.74
Bear_education_Chad,2016,electricity,8227589.24
Bear_education_Chad,2017,electricity,9286707.4646
Bear_education_Chana,2016,electricity,187844.2117
Bear_education_Chana,2017,electricity,186449.9085
Bear_education_Chun,2016,electricity,828408.0063
Bear_education_Chun,2017,electricity,932936.3641
Bear_education_Clint,2016,electricity,514006.0691
Bear_education_Clint,2017,electricity,479059.4602
Bear_education_Curtis,2016,electricity,605933.1265
Bear_education_Curtis,2017,electricity,597787.9842
Bear_education_Danna,2016,electricity,893227.9843
Bear_education_Danna,2017,electricity,913167.1278
Bear_education_Darrell,2016,electricity,366073.3002
Bear_education_Darrell,2017,electricity,323028.7387
Bear_education_Deborah,2016,electricity,8068.8614
Bear_education_Deborah,2017,electricity,5478.7244
Bear_education_Deena,2016,electricity,78633.51
Bear_education_Deena,2017,electricity,68642.9706
Bear_education_Derek,2016,electricity,1615577.6043
Bear_education_Derek,2017,electricity,1605885.8125
Bear_education_Destiny,2016,electricity,1016186.0656
Bear_education_Destiny,2017,electricity,985487.7544
Bear_education_Elise,2016,electricity,1243707.78
Bear_education_Elise,2017,electricity,1305003.5876
Bear_education_Fannie,2016,electricity,3689717.7879
Bear_education_Fannie,2017,electricity,3696356.1658
Bear_education_Gavin,2016,electricity,774366.4939
Bear_education_Gavin,2017,electricity,802997.3986
Bear_education_Herb,2016,electricity,119414.5981
Bear_education_Herb,2017,electricity,106916.376
Bear_education_Herman,2016,electricity,2618.8786
Bear_education_Herman,2017,electricity,2364.0054
Bear_education_Holly,2016,electricity,10972.9851
Bear_education_Holly,2017,electricity,10726.124
Bear_education_Irene,2016,electricity,819033.9584
Bear_education_Irene,2017,electricity,736017.5095
Bear_education_Iris,2016,electricity,372467.7091
Bear_education_Iris,2017,electricity,425831.8685
Bear_education_Katy,2016,electricity,1047318.3688
Bear_education_Katy,2017,electricity,1134549.637
Bear_education_Lashanda,2016,electricity,593639.7807
Bear_education_Lashanda,2017,electricity,699912.1293
Bear_education_Laurette,2016,electricity,446879.5037
Bear_education_Laurette,2017,electricity,444166.1532
Bear_education_Leonel,2016,electricity,1029922.0563
Bear_education_Leonel,2017,electricity,1054287.4735
Bear_education_Lewis,2016,electricity,209520.8532
Bear_education_Lewis,2017,electricity,201735.486
Bear_education_Lidia,2016,electricity,118037.65
Bear_education_Lidia,2017,electricity,105804.72
Bear_education_Lila,2016,electricity,1901294.8343
Bear_education_Lila,2017,electricity,1861243.4033
Bear_education_Liliana,2016,electricity,3899914.4562
Bear_education_Liliana,2017,electricity,3717167.3739
Bear_education_Lorie,2016,electricity,3451185.2072
Bear_education_Lorie,2017,electricity,3560611.1234
Bear_education_Mara,2016,electricity,4393507.3352
Bear_education_Mara,2017,electricity,4343870.3891
Bear_education_Marie,2016,electricity,212185.5602
Bear_education_Marie,2017,electricity,204911.7567
Bear_education_Marsha,2016,electricity,790311.1007
Bear_education_Marsha,2017,electricity,750147.2546
Bear_education_Marta,2016,electricity,369339.2215
Bear_education_Marta,2017,electricity,366694.5818
Bear_education_Maryjane,2016,electricity,2879444.7789
Bear_education_Maryjane,2017,electricity,2911688.7925
Bear_education_Merrill,2016,electricity,125423.9949
Bear_education_Merrill,2017,electricity,187939.7685
Bear_education_Millie,2016,electricity,29871.1937
Bear_education_Millie,2017,electricity,28615.0555
Bear_education_Nanette,2016,electricity,810819.7014
Bear_education_Nanette,2017,electricity,983914.1982
Bear_education_Oscar,2016,electricity,110599.8742
Bear_education_Oscar,2017,electricity,94261.067
Bear_education_Owen,2016,electricity,1343980.0449
Bear_education_Owen,2017,electricity,1289933.0171
Bear_education_Paola,2016,electricity,1253355.0572
Bear_education_Paola,2017,electricity,1367900.3427
Bear_education_Patricia,2016,electricity,5476299.5048
Bear_education_Patricia,2017,electricity,5591859.5566
Bear_education_Pattie,2016,electricity,1348750.2341
Bear_education_Pattie,2017,electricity,1675231.1799
Bear_education_Rebecca,2016,electricity,7145880.9301
Bear_education_Rebecca,2017,electricity,6525877.5466
Bear_education_Sandy,2016,electricity,55893.6394
Bear_education_Sandy,2017,electricity,60234.5152
Bear_education_Santos,2016,electricity,73400.9194
Bear_education_Santos,2017,electricity,75968.3389
Bear_education_Sharon,2016,electricity,984866.7354
Bear_education_Sharon,2017,electricity,983207.5532
Bear_education_Shelley,2016,electricity,1474087.2103
Bear_education_Shelley,2017,electricity,1376887.2815
Bear_education_Tara,2016,electricity,31994.4859
Bear_education_Tara,2017,electricity,27520.3208
Bear_education_Thuy,2016,electricity,2045417.5787
Bear_education_Thuy,2017,electricity,2001293.6102
Bear_education_Val,2016,electricity,3350674.0652
Bear_education_Val,2017,electricity,3215591.5538
Bear_education_Wade,2016,electricity,492996.4058
Bear_education_Wade,2017,electricity,455877.4165
Bear_education_Wilton,2016,electricity,13504442.7677
Bear_education_Wilton,2017,electricity,13941268.0123
Bear_education_Wm,2016,electricity,443045.1389
Bear_education_Wm,2017,electricity,439606.9053
Bear_education_Yuri,2016,electricity,159965.6203
Bear_education_Yuri,2017,electricity,154669.3307
Bear_education_Yvette,2016,electricity,92228.9764
Bear_education_Yvette,2017,electricity,99915.1247
Bear_education_Zandra,2016,electricity,8702886.7747
Bear_education_Zandra,2017,electricity,8366625.2897
Bear_lodging_Dannie,2016,electricity,74132.2842
Bear_lodging_Dannie,2017,electricity,77192.6918
Bear_lodging_Erick,2016,electricity,417314.4016
Bear_lodging_Erick,2017,electricity,432137.4904
Bear_lodging_Esperanza,2016,electricity,106146.6248
Bear_lodging_Esperanza,2017,electricity,250499.4737
Bear_lodging_Evan,2016,electricity,1584230.2564
Bear_lodging_Evan,2017,electricity,1485499.8533
Bear_parking_Bridget,2016,electricity,50771.7495
Bear_parking_Bridget,2017,electricity,144528.7028
Bear_parking_Bruce,2016,electricity,378007.43200000003
Bear_parking_Bruce,2017,electricity,356083.7178
Bear_parking_Gordon,2016,electricity,242451.4191
Bear_parking_Gordon,2017,electricity,243365.3953
Bear_public_Arlean,2016,electricity,829089.8679
Bear_public_Arlean,2017,electricity,1405241.3896
Bear_public_Jocelyn,2016,electricity,442872.5467
Bear_public_Jocelyn,2017,electricity,410516.2483
Bear_public_Lowell,2016,electricity,1821694.8077
Bear_public_Lowell,2017,electricity,1781691.8707
Bear_public_Orville,2016,electricity,334538.0495
Bear_public_Orville,2017,electricity,319034.6235
Bear_public_Rayna,2016,electricity,1000912.3546
Bear_public_Rayna,2017,electricity,950936.2584
Bear_public_Valorie,2016,electricity,1595500.4738
Bear_public_Valorie,2017,electricity,1815015.1941
Bear_science_Alison,2016,electricity,889986.6292
Bear_science_Alison,2017,electricity,921067.6095
Bear_science_Eleanor,2016,electricity,304130.2538
Bear_science_Eleanor,2017,electricity,329546.909
Bear_utility_Sidney,2016,electricity,460827.3431
Bear_utility_Sidney,2017,electricity,452095.7377
Bobcat_assembly_Adam,2016,chilledwater,322.2637
Bobcat_assembly_Adam,2016,electricity,630540.8411
Bobcat_assembly_Adam,2016,water,273527827.8635
Bobcat_assembly_Adam,2017,chilledwater,0.0
Bobcat_assembly_Adam,2017,electricity,445507.87930000003
Bobcat_assembly_Adam,2017,water,24192283.2583
Bobcat_assembly_Billy,2016,chilledwater,0.0
Bobcat_assembly_Billy,2016,electricity,1183031.1132
Bobcat_assembly_Billy,2016,hotwater,41171297.8658
Bobcat_assembly_Billy,2016,water,802128.2792
Bobcat_assembly_Billy,2017,chilledwater,131421.3692
Bobcat_assembly_Billy,2017,electricity,868133.4488
Bobcat_assembly_Billy,2017,hotwater,40413469.6688
Bobcat_assembly_Billy,2017,water,626863.7827
Bobcat_assembly_Camilla,2016,chilledwater,72.1989
Bobcat_assembly_Camilla,2016,electricity,180226.4129
Bobcat_assembly_Camilla,2016,hotwater,3007.6739
Bobcat_assembly_Camilla,2016,water,10306805.0899
Bobcat_assembly_Camilla,2017,chilledwater,0.0
Bobcat_assembly_Camilla,2017,electricity,120892.6664
Bobcat_assembly_Camilla,2017,hotwater,0.0
Bobcat_assembly_Camilla,2017,water,26737320.0761
Bobcat_assembly_Franklin,2016,electricity,1409981.0060999999
Bobcat_assembly_Franklin,2016,gas,423841.847
Bobcat_assembly_Franklin,2016,water,7575371.3643
Bobcat_assembly_Franklin,2017,electricity,1143662.1391
Bobcat_assembly_Franklin,2017,gas,318366.3173
Bobcat_assembly_Franklin,2017,water,7050703.9172
Bobcat_education_Alissa,2016,chilledwater,34225.25
Bobcat_education_Alissa,2016,electricity,542486.3719
Bobcat_education_Alissa,2016,gas,21098143.1033
Bobcat_education_Alissa,2016,hotwater,629312.6407
Bobcat_education_Alissa,2016,solar,532955.7548
Bobcat_education_Alissa,2017,chilledwater,45746.7541
Bobcat_education_Alissa,2017,electricity,454920.3028
Bobcat_education_Alissa,2017,gas,16192.4976
Bobcat_education_Alissa,2017,hotwater,320327.086
Bobcat_education_Alissa,2017,solar,783351.5698
Bobcat_education_Angela,2016,chilledwater,243468.2886
Bobcat_education_Angela,2016,electricity,742327.1293
Bobcat_education_Angela,2016,hotwater,2081.7053
Bobcat_education_Angela,2016,water,154700.1222
Bobcat_education_Angela,2017,chilledwater,294561.8386
Bobcat_education_Angela,2017,electricity,664394.5848
Bobcat_education_Angela,2017,hotwater,1527.3939
Bobcat_education_Angela,2017,water,73689.4378
Bobcat_education_Barbra,2017,electricity,7602.700000000001
Bobcat_education_Coleman,2016,electricity,1061467.071
Bobcat_education_Coleman,2016,solar,29574.7216
Bobcat_education_Coleman,2016,water,19909476.218
Bobcat_education_Coleman,2017,electricity,906152.1144
Bobcat_education_Coleman,2017,solar,22798.5005
Bobcat_education_Coleman,2017,water,14766882.37
Bobcat_education_Dylan,2016,chilledwater,0.0098
Bobcat_education_Dylan,2016,electricity,1073151.6147
Bobcat_education_Dylan,2016,hotwater,3874907.2456
Bobcat_education_Dylan,2016,solar,50069.4698
Bobcat_education_Dylan,2016,water,3159140.1051
Bobcat_education_Dylan,2017,chilledwater,556.2090000000001
Bobcat_education_Dylan,2017,electricity,954993.6255
Bobcat_education_Dylan,2017,hotwater,2496513.8038
Bobcat_education_Dylan,2017,solar,47644.468
Bobcat_education_Dylan,2017,water,21168929.2569
Bobcat_education_Emile,2016,chilledwater,0.0
Bobcat_education_Emile,2016,electricity,36593.0344
Bobcat_education_Emile,2016,hotwater,61751.8701
Bobcat_education_Emile,2016,water,220462.2756
Bobcat_education_Emile,2017,chilledwater,11311.8036
Bobcat_education_Emile,2017,electricity,1703.9569000000001
Bobcat_education_Emile,2017,hotwater,0.0
Bobcat_education_Emile,2017,water,184235.9131
Bobcat_education_Hollis,2016,electricity,1350740.8006
Bobcat_education_Hollis,2017,electricity,923157.1512
Bobcat_education_Jayne,2016,chilledwater,0.4159
Bobcat_education_Jayne,2016,electricity,549434.7739
Bobcat_education_Jayne,2017,chilledwater,0.6049
Bobcat_education_Jayne,2017,electricity,375205.4568
Bobcat_education_Karin,2016,chilledwater,0.0
Bobcat_education_Karin,2016,electricity,261363.5323
Bobcat_education_Karin,2016,hotwater,357487.7573
Bobcat_education_Karin,2016,water,22.2673
Bobcat_education_Karin,2017,chilledwater,6458.9305
Bobcat_education_Karin,2017,electricity,81202.3096
Bobcat_education_Karin,2017,hotwater,88124.16649999999
Bobcat_education_Karin,2017,water,0.0
Bobcat_education_Marisha,2016,chilledwater,0.0
Bobcat_education_Marisha,2016,electricity,566513.1671
Bobcat_education_Marisha,2016,hotwater,14359.651100000001
Bobcat_education_Marisha,2016,water,943400.2406
Bobcat_education_Marisha,2017,chilledwater,30072.050900000002
Bobcat_education_Marisha,2017,electricity,322533.7701
Bobcat_education_Marisha,2017,hotwater,7425.3312
Bobcat_education_Marisha,2017,water,697726.8922
Bobcat_education_Miki,2016,chilledwater,153044.2477
Bobcat_education_Miki,2016,electricity,668281.6693
Bobcat_education_Miki,2016,hotwater,1415314.8517
Bobcat_education_Miki,2016,water,0.0
Bobcat_education_Miki,2017,chilledwater,146701.1601
Bobcat_education_Miki,2017,electricity,155568.6001
Bobcat_education_Miki,2017,hotwater,1179161.1739
Bobcat_education_Miki,2017,water,0.0
Bobcat_education_Monte,2016,chilledwater,0.0
Bobcat_education_Monte,2016,electricity,141010.1382
Bobcat_education_Monte,2016,hotwater,60636.6377
Bobcat_education_Monte,2016,water,518601.3899
Bobcat_education_Monte,2017,chilledwater,3685.5528
Bobcat_education_Monte,2017,electricity,136550.739
Bobcat_education_Monte,2017,hotwater,64102.7471
Bobcat_education_Monte,2017,water,418287.8409
Bobcat_education_Rafael,2016,gas,63017.0267
Bobcat_education_Rafael,2017,gas,31790.7753
Bobcat_education_Rodrick,2016,electricity,241764.6174
Bobcat_education_Rodrick,2016,hotwater,43448.657
Bobcat_education_Rodrick,2016,water,0.0
Bobcat_education_Rodrick,2017,hotwater,15152.8753
Bobcat_education_Rodrick,2017,water,0.0
Bobcat_education_Rosalva,2016,chilledwater,13.7423
Bobcat_education_Rosalva,2016,electricity,631294.9228000001
Bobcat_education_Rosalva,2016,hotwater,668338.5219
Bobcat_education_Rosalva,2016,water,2906480.8913
Bobcat_education_Rosalva,2017,chilledwater,100556.4846
Bobcat_education_Rosalva,2017,electricity,508975.92960000003
Bobcat_education_Rosalva,2017,hotwater,257963.9821
Bobcat_education_Rosalva,2017,water,2105444.5036
Bobcat_education_Seth,2017,chilledwater,8114.9597
Bobcat_education_Seth,2017,electricity,262320.4998
Bobcat_education_Seth,2017,gas,734.5948
Bobcat_education_Seth,2017,hotwater,70140.6807
Bobcat_education_Seth,2017,water,432672.3443
Bobcat_education_Toni,2016,chilledwater,0.0001
Bobcat_education_Toni,2016,electricity,247739.152
Bobcat_education_Toni,2016,hotwater,29444.9378
Bobcat_education_Toni,2016,water,305520.4888
Bobcat_education_Toni,2017,chilledwater,0.014
Bobcat_education_Toni,2017,electricity,173479.9372
Bobcat_education_Toni,2017,hotwater,24951.8741
Bobcat_education_Toni,2017,water,419309.8667
Bobcat_education_Whitney,2016,chilledwater,0.0
Bobcat_education_Whitney,2016,electricity,3275762.5139
Bobcat_education_Whitney,2016,water,11205970.1535
Bobcat_education_Whitney,2017,chilledwater,0.0
Bobcat_education_Whitney,2017,electricity,2194409.2964
Bobcat_education_Whitney,2017,water,9013857.0742
Bobcat_lodging_Darin,2016,electricity,1177955.8206
Bobcat_lodging_Darin,2016,water,6671504.9613
Bobcat_lodging_Darin,2017,electricity,983578.2894
Bobcat_lodging_Darin,2017,gas,39432.2916
Bobcat_lodging_Darin,2017,water,8042482.3058
Bobcat_lodging_Melaine,2016,electricity,376163.7106
Bobcat_lodging_Melaine,2016,water,6078992.6164
Bobcat_lodging_Melaine,2017,electricity,326563.5662
Bobcat_lodging_Melaine,2017,gas,20702.8988
Bobcat_lodging_Melaine,2017,water,4520916.0327
Bobcat_lodging_Nickolas,2016,electricity,466963.5249
Bobcat_lodging_Nickolas,2016,water,3264994.0903
Bobcat_lodging_Nickolas,2017,electricity,313575.028
Bobcat_lodging_Nickolas,2017,water,4497067.8175
Bobcat_office_Alma,2016,electricity,37101.4461
Bobcat_office_Alma,2017,electricity,34904.009
Bobcat_office_Justine,2016,electricity,119235.4136
Bobcat_office_Justine,2016,gas,81332.6897
Bobcat_office_Justine,2016,water,392509.2921
Bobcat_office_Justine,2017,electricity,154681.2339
Bobcat_office_Justine,2017,gas,79414.4739
Bobcat_office_Justine,2017,water,479535.8461
Bobcat_office_Kassandra,2016,chilledwater,0.0
Bobcat_office_Kassandra,2016,electricity,382417.2029
Bobcat_office_Kassandra,2016,water,0.0
Bobcat_office_Kassandra,2017,chilledwater,7203.6297
Bobcat_office_Kassandra,2017,electricity,395035.5523
Bobcat_office_Kassandra,2017,water,78320.1277
Bobcat_office_Melody,2016,electricity,320681.9639
Bobcat_office_Melody,2017,electricity,377961.2235
Bobcat_office_Nikita,2016,electricity,346484.536
Bobcat_office_Nikita,2016,gas,39631.7625
Bobcat_office_Nikita,2016,water,60061.8085
Bobcat_office_Nikita,2017,electricity,286342.2804
Bobcat_office_Nikita,2017,gas,23230.0436
Bobcat_office_Nikita,2017,water,48239.8875
Bobcat_other_Howard,2016,chilledwater,688232.7931
Bobcat_other_Howard,2016,electricity,466548.8303
Bobcat_other_Howard,2016,water,414956.9524
Bobcat_other_Howard,2017,chilledwater,810564.7424
Bobcat_other_Howard,2017,electricity,375692.4163
Bobcat_other_Howard,2017,water,138848.9619
Bobcat_other_Jovita,2016,chilledwater,89112.1171
Bobcat_other_Jovita,2016,electricity,254313.3636
Bobcat_other_Jovita,2016,water,1365.0324
Bobcat_other_Jovita,2017,chilledwater,88837.4412
Bobcat_other_Jovita,2017,electricity,261617.7808
Bobcat_other_Jovita,2017,water,6647.3783
Bobcat_other_Timothy,2016,electricity,166901.9105
Bobcat_other_Timothy,2016,solar,30060.7517
Bobcat_other_Timothy,2016,water,53979.9655
Bobcat_other_Timothy,2017,electricity,154492.2154
Bobcat_other_Timothy,2017,solar,29125.0026
Bobcat_other_Timothy,2017,water,56099.7859
Bobcat_public_Angie,2016,chilledwater,0.0086
Bobcat_public_Angie,2016,electricity,805887.6312
Bobcat_public_Angie,2016,hotwater,4198.7249
Bobcat_public_Angie,2016,water,0.0
Bobcat_public_Angie,2017,chilledwater,0.0
Bobcat_public_Angie,2017,hotwater,0.0
Bobcat_public_Angie,2017,water,0.0
Bobcat_science_Tammy,2016,chilledwater,169145.87410000002
Bobcat_science_Tammy,2016,electricity,357299.5521
Bobcat_science_Tammy,2016,hotwater,770963.7008
Bobcat_science_Tammy,2016,water,0.0
Bobcat_science_Tammy,2017,chilledwater,25191.667699999998
